Local time,Open,High,Low,Close,Volume
08.01.2020 08:30:00.000 GMT+0530,1.31326,1.31390,1.31233,1.31306,5994.1499
08.01.2020 09:30:00.000 GMT+0530,1.31305,1.31343,1.31180,1.31205,4634.71
08.01.2020 10:30:00.000 GMT+0530,1.31205,1.31242,1.31158,1.31174,4209.1899
08.01.2020 11:30:00.000 GMT+0530,1.31173,1.31336,1.31172,1.31292,4991.0098
08.01.2020 12:30:00.000 GMT+0530,1.31291,1.31622,1.31263,1.31522,11186.6299
08.01.2020 13:30:00.000 GMT+0530,1.31525,1.31694,1.31391,1.31659,15794
08.01.2020 14:30:00.000 GMT+0530,1.31658,1.31690,1.31105,1.31203,11787.5
08.01.2020 15:30:00.000 GMT+0530,1.31190,1.31360,1.30911,1.31198,16619.9395
08.01.2020 16:30:00.000 GMT+0530,1.31198,1.31245,1.30989,1.31083,13269.1699
08.01.2020 17:30:00.000 GMT+0530,1.31083,1.31195,1.30799,1.30926,12603.46
08.01.2020 18:30:00.000 GMT+0530,1.30925,1.31249,1.30855,1.31217,12895.29
08.01.2020 19:30:00.000 GMT+0530,1.31217,1.31392,1.31192,1.31248,9731.3604
08.01.2020 20:30:00.000 GMT+0530,1.31246,1.31337,1.30871,1.31001,8931.0195
08.01.2020 21:30:00.000 GMT+0530,1.30998,1.31089,1.30827,1.31089,13935.1797
08.01.2020 22:30:00.000 GMT+0530,1.31089,1.31168,1.31009,1.31048,9529.8604
08.01.2020 23:30:00.000 GMT+0530,1.31047,1.31059,1.30960,1.31028,5298.7598
09.01.2020 00:30:00.000 GMT+0530,1.31029,1.31029,1.30974,1.31006,6219
09.01.2020 01:30:00.000 GMT+0530,1.31006,1.31027,1.30973,1.30977,4072.46
09.01.2020 02:30:00.000 GMT+0530,1.30978,1.30991,1.30918,1.30918,2323.0601
09.01.2020 03:30:00.000 GMT+0530,1.30919,1.31015,1.30917,1.30972,1231.1899
09.01.2020 04:30:00.000 GMT+0530,1.30965,1.31052,1.30964,1.31051,2760.8
09.01.2020 05:30:00.000 GMT+0530,1.31047,1.31121,1.31027,1.31092,6406.5898
09.01.2020 06:30:00.000 GMT+0530,1.31092,1.31139,1.31038,1.31115,4928.1099
09.01.2020 07:30:00.000 GMT+0530,1.31115,1.31120,1.31037,1.31085,3013.55
09.01.2020 08:30:00.000 GMT+0530,1.31085,1.31108,1.31054,1.31057,2532.3501
09.01.2020 09:30:00.000 GMT+0530,1.31055,1.31087,1.31044,1.31084,2344.1399
09.01.2020 10:30:00.000 GMT+0530,1.31085,1.31187,1.31085,1.31163,3157.48
09.01.2020 11:30:00.000 GMT+0530,1.31164,1.31233,1.31073,1.31104,4417.0498
09.01.2020 12:30:00.000 GMT+0530,1.31104,1.31187,1.31010,1.31138,7301.4502
09.01.2020 13:30:00.000 GMT+0530,1.31135,1.31135,1.30846,1.30877,12749.3203
09.01.2020 14:30:00.000 GMT+0530,1.30875,1.30914,1.30170,1.30279,21809.2109
09.01.2020 15:30:00.000 GMT+0530,1.30271,1.30434,1.30190,1.30427,14074.8096
09.01.2020 16:30:00.000 GMT+0530,1.30425,1.30513,1.30132,1.30191,12168.5703
09.01.2020 17:30:00.000 GMT+0530,1.30193,1.30406,1.30126,1.30375,12940.4404
09.01.2020 18:30:00.000 GMT+0530,1.30372,1.30689,1.30218,1.30522,12192.2402
09.01.2020 19:30:00.000 GMT+0530,1.30522,1.30579,1.30366,1.30492,9850.6299
09.01.2020 20:30:00.000 GMT+0530,1.30493,1.30539,1.30330,1.30482,8766.8096
09.01.2020 21:30:00.000 GMT+0530,1.30480,1.30688,1.30432,1.30684,7774.1602
09.01.2020 22:30:00.000 GMT+0530,1.30684,1.30685,1.30606,1.30611,4929.4702
09.01.2020 23:30:00.000 GMT+0530,1.30611,1.30638,1.30547,1.30551,24244.7598
10.01.2020 00:30:00.000 GMT+0530,1.30551,1.30591,1.30539,1.30568,4500.1401
10.01.2020 01:30:00.000 GMT+0530,1.30566,1.30672,1.30566,1.30662,3218.1499
